CustomerID,LookalikeID,SimilarityScore
C0001,C0164,0.9684103747672836
C0001,C0137,0.962080832605305
C0001,C0069,0.9550713611775175
C0002,C0029,0.9997616343498978
C0002,C0031,0.9990127676471738
C0002,C0094,0.9935549754103509
C0003,C0176,0.8906401232895584
C0003,C0027,0.8635793097874297
C0003,C0010,0.8297171756607857
C0004,C0075,0.9976740652389241
C0004,C0175,0.9940844827669525
C0004,C0195,0.9935556068793538
C0005,C0058,0.9997982043779898
C0005,C0123,0.9997057571026509
C0005,C0015,0.9996889628083022
C0006,C0079,0.9998795967431424
C0006,C0196,0.9942428517003664
C0006,C0117,0.9890464129049237
C0007,C0140,0.9985337287784547
C0007,C0085,0.9953541911367757
C0007,C0125,0.9953474115821755
C0008,C0179,0.9965086350321659
C0008,C0081,0.9926519091915025
C0008,C0090,0.98792990302146
C0009,C0192,0.9983620640345526
C0009,C0177,0.9963247565166135
C0009,C0083,0.9956812088392264
C0010,C0142,0.964094866380962
C0010,C0027,0.956389113234902
C0010,C0029,0.9551193524385135
C0011,C0023,0.9819122814188915
C0011,C0064,0.9760655386675109
C0011,C0100,0.9748553748057439
C0012,C0041,0.9973183081389471
C0012,C0045,0.9957679071207578
C0012,C0087,0.9949099733379416
C0013,C0059,0.9992581092102039
C0013,C0141,0.9978361389320974
C0013,C0105,0.997751871794289
C0014,C0033,0.9996378284444327
C0014,C0095,0.9995970404048438
C0014,C0060,0.9994214836893801
C0015,C0131,0.9999953416670492
C0015,C0058,0.9999874168608283
C0015,C0005,0.9996889628083022
C0016,C0107,0.9642876834861008
C0016,C0152,0.8486463373851234
C0016,C0183,0.8342045506911487
C0017,C0162,0.9977685065474171
C0017,C0124,0.9977055542411
C0017,C0084,0.9960896356490084
C0018,C0182,0.9847257873183777
C0018,C0165,0.9846269845769468
C0018,C0028,0.9843792860871865
C0019,C0172,0.9869730973269422
C0019,C0116,0.9583927127074583
C0019,C0056,0.9057829108798118
C0020,C0080,0.9998945211239678
C0020,C0167,0.9996792207434816
C0020,C0063,0.9991215168244045
